user_id,transfer_to,amount
58,68,4021.58
5,88,1762.5
3,36,2722.04
29,38,241.33
58,20,6952.95
100,30,7739.38
53,1,7521.0
91,82,5393.71
3,32,6760.17
33,47,5676.89
93,81,2862.03
61,88,3292.91
79,58,3003.08
77,48,2778.88
22,98,796.76
30,10,2116.95
9,92,5024.07
95,54,3655.87
59,5,1741.48
52,24,3283.77
90,16,4561.53
81,49,6790.68
17,73,2261.74
56,44,1818.48
46,48,6777.77
17,35,6105.47
100,89,7673.08
44,47,4615.81
7,33,4656.34
94,8,7768.54
96,17,5207.38
64,76,4038.76
80,62,2407.26
50,83,3881.39
98,21,379.99
16,55,3885.44
37,4,3503.34
12,27,4460.92
14,76,3715.61
59,79,3519.18
56,29,6737.66
37,93,245.89
58,44,2342.51
72,45,4107.71
85,18,469.13
60,88,6138.89
5,31,3496.03
44,51,6288.66
44,48,4961.8
94,84,4546.69
90,88,6897.34
98,84,3769.56
35,30,1516.48
26,90,2178.52
89,29,3045.05
21,43,6424.07
50,65,944.13
85,61,6242.66
69,25,4704.64
62,92,4089.39
37,21,5864.69
42,55,4365.93
70,50,7222.48
22,9,3745.21
79,98,1695.95
32,3,961.59
89,82,6495.11
3,33,1877.54
17,32,1743.56
62,98,6288.62
2,41,6773.79
9,73,7340.98
2,81,2206.14
99,42,5836.3
94,63,7534.8
80,50,5184.45
43,55,5793.26
97,7,3082.82
2,30,2370.96
61,31,4233.43
24,50,4837.27
74,80,2129.32
15,52,3390.36
45,90,611.53
3,65,146.17
16,30,4483.6
54,85,7694.97
56,8,3454.38
36,29,2664.8
50,6,3892.72
85,36,5430.05
81,63,4444.85
25,68,571.53
98,62,3584.87
61,98,4123.04
96,25,6499.07
85,56,5987.6
8,88,5754.48
23,86,1649.31
99,5,3675.41
95,2,6632.29
23,60,6751.14
60,26,3586.84
14,25,4766.8
63,4,7132.86
27,53,7733.73
15,26,7811.72
66,19,6367.79
17,13,3212.87
73,38,3495.96
96,65,3027.68
15,87,1601.39
58,95,7339.46
20,98,358.94
11,31,7451.66
45,63,453.03
84,25,4389.43
77,2,4716.72
31,44,2489.17
65,73,1995.51
57,59,7487.2
48,85,2413.12
53,27,6828.98
36,2,1919.75
86,38,2964.14
86,50,1873.16
99,47,1162.62
76,2,1759.21
62,51,2403.93
38,85,2050.75
73,56,4539.84
23,33,3940.41
1,5,5844.29
83,87,892.6
66,28,464.67
33,50,6300.63
73,16,7946.64
81,86,6765.54
45,7,3489.97
62,95,5470.25
24,12,4166.61
86,4,2752.29
15,43,426.74
25,59,5456.87
92,50,2035.17
76,84,6672.9
39,62,7810.3
4,79,1121.99
53,23,7.47
16,99,6280.74
28,16,5907.55
51,10,91.63
45,92,1897.87
72,43,5680.28
68,61,1883.24
55,14,2752.42
70,99,6887.0
59,23,4899.91
23,41,3477.42
48,15,2060.13
25,8,2103.0
91,73,3551.46
4,91,137.48
18,13,1313.11
83,40,737.57
85,58,61.49
89,5,6076.57
25,67,3169.31
29,52,532.91
50,9,3599.7
10,70,627.81
41,10,3631.08
14,93,443.61
79,74,2840.46
97,36,3595.98
44,22,1988.62
51,24,1395.96
27,61,4187.33
34,8,342.24
16,70,7723.02
16,44,4307.43
98,97,325.48
3,99,4385.56
6,62,3479.62
63,7,979.28
9,68,215.02
90,89,4970.03
8,20,3360.57
8,76,3969.81
80,59,3666.92
25,7,4642.91
62,30,2373.83
89,83,1505.73
95,29,4724.83
45,98,1574.65
80,38,4136.46
33,42,1001.56
88,38,5414.3
82,1,5306.29
69,89,2232.77
69,79,2808.0
95,57,491.93
98,94,5746.38
81,63,6843.16
51,26,5069.17
49,30,1630.63
8,8,1469.38
1,83,3028.81
57,33,6789.73
30,75,2634.98
14,97,4254.71
89,100,3785.97
36,89,3793.76
84,27,7271.44
98,54,4613.34
78,87,4945.73
20,44,4365.07
79,92,3814.03
34,31,5361.9
41,51,6258.09
28,36,1185.97
13,87,5876.66
73,9,7891.73
32,29,738.24
77,19,4435.25
16,18,1889.28
79,57,1330.3
12,83,7831.73
93,25,1326.52
79,97,3660.22
73,4,6976.06
58,88,1237.15
44,20,7311.41
48,100,4972.14
28,8,5873.86
93,40,7873.86
34,48,1167.83
3,82,1877.21
11,98,5442.56
85,83,5703.57
63,65,2270.22
28,12,5283.47
54,32,7955.69
29,48,2005.83
24,67,7590.67
8,64,208.48
78,93,4284.12
49,24,6424.09
34,85,1184.83
44,36,7688.81
22,99,1126.71
25,73,682.81
57,40,221.01
28,35,6922.65
96,62,5150.82
8,7,3476.35
82,60,3644.0
23,39,5757.32
63,36,2771.87
20,3,4267.12
81,59,2261.26
72,1,3831.88
40,91,3416.75
6,78,4773.87
8,15,3195.16
24,1,6453.67
30,78,4774.65
51,56,7127.28
54,29,6651.3
100,36,150.2
97,1,1934.67
32,72,5657.7
80,73,6529.34
91,69,7861.45
11,72,3031.15
70,83,2952.55
89,39,4689.95
8,67,4921.96
72,8,5341.77
43,66,3301.95
37,43,6552.31
87,71,3116.01
76,6,4472.18
29,99,294.23
16,6,7492.6
40,66,700.63
54,94,2731.52
11,31,1951.1
32,52,3903.82
32,94,5591.52
34,90,2028.19
71,67,7973.68
36,16,7651.42
3,77,987.37
69,100,908.5
90,67,6834.59
88,74,1053.42
36,95,2530.95
61,63,1583.16
21,60,1918.76
13,37,2283.6
34,100,7471.87
85,83,4503.19
71,26,6596.98
85,51,5547.77
49,59,6343.41
74,68,162.26
57,8,4825.45
2,81,7956.77
62,43,417.07
21,7,3259.79
21,98,6365.04
45,82,2595.3
3,97,2330.02
50,47,7146.9
14,13,5002.62
85,11,2159.15
25,9,3881.56
82,20,5697.32
38,39,4424.88
65,30,6375.75
95,80,3940.1
9,95,2636.55
31,20,3008.74
68,30,5650.69
15,30,3160.45
33,69,6512.0
11,96,4971.14
100,77,1974.85
81,69,4914.6
32,17,7227.43
17,95,5197.5
22,66,281.34
43,71,5391.41
45,35,6045.0
44,46,6272.67
89,86,41.85
96,10,1203.79
85,45,2379.21
69,95,5494.91
14,7,4625.96
50,95,806.38
32,75,2965.42
67,7,3325.22
96,46,4141.15
19,86,4057.36
32,50,4153.52
36,26,2162.21
55,74,901.46
26,80,3172.35
79,48,2803.35
67,47,3588.83
87,59,6429.86
20,5,3932.97
80,31,4022.11
25,22,7131.94
28,31,1977.66
40,92,6900.16
19,35,1618.96
26,24,4147.87
27,42,1017.14
76,29,4691.87
36,73,7059.7
52,48,5357.07
79,40,5284.42
1,10,671.12
47,86,514.59
5,71,4979.55
68,43,941.07
29,93,157.72
31,88,6471.35
89,8,200.49
87,87,3328.3
85,32,1084.62
13,31,1409.48
73,97,4969.38
91,36,3410.66
17,7,7083.09
83,83,2094.3
96,48,388.79
66,100,5160.19
12,80,4892.39
78,7,7955.4
53,22,5124.43
63,75,6863.58
97,21,4491.16
5,18,5079.46
7,58,3582.78
47,29,2531.36
20,13,7847.95
37,90,2488.75
53,91,7837.13
75,79,2719.12
18,25,7715.72
40,10,7333.7
29,17,313.15
74,58,5588.09
19,11,5004.73
63,55,5877.77
25,55,7872.71
87,4,3997.21
4,14,3433.6
28,98,137.92
85,33,4627.47
48,85,1112.08
3,59,1250.04
77,14,7552.12
10,90,4995.49
92,1,2038.96
55,52,6847.05
76,37,1270.11
81,68,4314.16
52,76,1448.92
55,65,3267.46
16,25,7182.64
33,36,2878.57
87,10,2578.22
99,16,976.84
15,80,7754.59
6,61,445.88
1,60,5994.88
25,40,6847.98
98,73,927.39
66,88,7780.18
81,95,3741.62
51,77,6203.39
21,84,5904.56
72,34,6026.37
73,9,1409.96
37,62,7966.84
48,54,2422.39
29,17,5979.96
11,58,7791.56
49,14,2420.57
44,71,975.63
70,24,1976.98
100,7,7850.68
77,55,2587.27
7,74,488.44
72,27,3693.25
1,41,6829.5
59,58,3719.3
84,8,4807.06
52,91,7709.85
9,9,5974.18
17,72,5702.13
19,81,7173.95
15,27,49.01
89,44,5337.76
72,94,1685.04
86,66,1457.03
43,47,222.99
30,57,2482.78
100,87,3469.1
50,72,1908.75
55,82,6981.8
100,85,5236.21
5,49,4786.76
33,19,3244.39
67,93,3067.19
69,47,3265.74
17,35,5858.69
99,99,163.28
96,61,2009.97
18,91,7989.65
39,7,4700.34
17,20,3263.13
77,14,4960.88
14,91,183.92
59,55,7660.15
76,65,954.38
55,7,375.34
5,7,2744.81
99,42,2946.38
46,84,6258.07
97,13,1856.6
15,2,7910.93
75,47,2598.86
81,48,5572.1
88,82,2343.22
1,60,872.32
70,46,3307.41
65,90,30.58
41,48,4915.78
19,76,3207.96
83,4,5813.81
67,69,4689.18
50,48,4466.63
48,51,6620.21
52,64,2943.21
35,37,1295.33
49,27,2255.83
8,96,5121.17
81,36,1371.72
21,53,1510.38
15,41,3806.84
78,40,2199.05
63,69,7745.47
10,17,50.63
8,63,4504.57
2,38,3409.53
61,2,7712.33
90,84,248.91
72,61,2083.39
64,93,6769.83
79,43,7245.97
92,98,4497.39
97,61,2342.1
8,4,1241.51
88,1,5904.53
83,57,5055.64
23,49,5275.03
53,25,1075.1
2,45,1572.65
1,72,2595.1
57,51,168.77
89,33,3560.29
79,78,3826.58
68,31,3460.84
92,38,2867.79
5,29,4166.23
14,29,7300.37
92,22,3381.22
90,69,4453.7
34,75,6441.89
65,48,4032.29
72,78,7154.38
76,36,5626.27
92,32,3093.65
53,27,5285.34
59,42,3632.19
5,84,2468.95
32,69,3576.19
18,56,3653.09
84,61,7565.48
88,77,7540.99
41,94,454.91
100,11,3802.75
32,85,3650.91
76,39,6581.9
33,48,3810.66
38,29,4965.21
30,29,4375.52
63,98,1258.42
18,77,5983.83
42,22,316.9
41,12,7674.2
91,96,7527.03
25,51,2038.07
63,50,2562.85
95,40,3588.82
25,30,940.1
15,80,218.1
42,94,7673.09
17,51,119.22
17,80,4899.63
79,70,4195.84
88,54,677.2
53,95,4311.38
97,85,1137.9
88,74,2819.31
60,12,7544.32
79,100,1956.69
22,74,913.56
39,3,1660.64
93,58,3862.23
83,29,717.98
8,71,2503.15
48,33,7278.0
91,9,1281.76
73,84,7759.45
30,83,3007.75
96,63,3517.64
23,33,3979.85
22,34,2208.46
27,2,2322.54
78,27,1948.67
1,62,2860.31
68,30,6531.02
98,92,2407.45
42,37,7408.33
93,84,7864.22
55,91,2592.99
32,27,1037.61
20,38,4451.92
35,50,3180.65
7,57,3043.65
73,99,6133.76
54,52,2030.85
41,22,6594.39
60,21,5400.32
26,50,5100.77
46,8,6443.45
32,35,4316.55
67,25,5987.67
2,62,1050.34
35,86,7637.55
89,71,4062.44
63,59,7212.9
38,98,7265.63
80,43,7858.4
79,37,5108.6
78,47,2363.23
68,63,6083.89
84,33,6042.0
48,60,1290.45
53,33,6514.5
85,39,6986.77
65,78,4254.29
81,42,2528.48
29,85,243.45
47,39,3401.77
22,62,4272.37
58,8,6684.63
32,98,2620.58
57,67,7766.6
52,22,6695.78
88,49,3157.64
28,50,5011.51
39,18,2300.54
51,33,5920.65
43,29,6184.38
62,1,6363.5
28,80,6973.57
82,85,3185.92
60,69,7643.21
66,39,3850.39
24,83,2880.66
38,56,2083.08
21,23,7568.26
13,83,5910.55
43,93,2402.02
83,100,320.65
88,23,7188.14
14,21,5987.06
16,14,6312.79
64,4,6469.61
7,54,649.47
27,12,4674.06
1,32,1413.95
49,99,380.91
64,9,1915.3
22,74,6231.73
65,87,3506.38
18,86,6976.95
22,99,483.03
25,51,4080.6
88,91,7133.25
53,42,4974.73
47,20,7685.62
1,47,7616.57
63,9,2652.45
51,33,487.94
19,33,7755.32
12,99,2796.98
92,95,2981.34
52,2,2277.38
45,3,1099.21
38,11,3158.16
2,71,3551.3
60,16,768.59
80,8,4414.31
23,7,5568.51
48,90,2036.26
34,3,312.75
5,6,173.1
57,54,4811.55
68,5,481.62
69,42,3973.92
55,84,7673.95
1,10,6184.86
35,45,1383.54
97,17,3996.98
68,37,4654.84
39,9,1149.83
17,73,7603.53
20,62,3557.2
66,63,6723.88
58,52,1116.6
27,6,1150.37
43,82,1733.79
70,77,786.56
89,28,717.23
92,4,6771.87
17,79,6897.55
97,70,7959.64
42,1,6517.99
2,64,4187.87
49,20,2324.87
44,68,6673.38
48,23,4584.81
86,49,415.33
13,35,244.74
61,37,1659.5
23,39,1030.24
56,75,7578.59
92,90,6053.21
22,3,5445.73
82,7,2981.68
55,82,5110.97
19,71,6487.97
97,14,170.73
80,69,4368.61
96,11,770.89
74,3,3363.74
86,62,6510.83
85,15,7434.08
75,78,714.59
63,85,7240.44
45,28,2413.94
63,10,6163.54
38,98,6115.79
41,78,2896.56
72,90,5129.5
36,13,2716.05
48,88,4983.28
16,41,55.83
11,12,7937.53
